title,venue,year,author,comment,url,code
Backdoor-based Explainable AI Benchmark for High Fidelity Evaluation of Attribution Methods,arXiv,2405,"Peiyu Yang, Naveed Akhtar, Jiantong Jiang, Ajmal Mian",,https://arxiv.org/abs/2405.02344,
BadFusion: 2D-Oriented Backdoor Attacks against 3D Object Detection,arXiv,2405,"Saket S. Chaturvedi, Lan Zhang, Wenbin Zhang, Pan He, Xiaoyong Yuan",Accepted at IJCAI 2024 Conference,https://arxiv.org/abs/2405.03884,
DarkFed: A Data-Free Backdoor Attack in Federated Learning,arXiv,2405,"Minghui Li, Wei Wan, Yuxuan Ning, Shengshan Hu, Lulu Xue, Leo Yu Zhang, Yichen Wang",This paper has been accepted by IJCAI 2024,https://arxiv.org/abs/2405.03299,
Explanation as a Watermark: Towards Harmless and Multi-bit Model Ownership Verification via Watermarking Feature Attribution,arXiv,2405,"Shuo Shao, Yiming Li, Hongwei Yao, Yiling He, Zhan Qin, Kui Ren",,https://arxiv.org/abs/2405.04825,
Lazy Layers to Make Fine-Tuned Diffusion Models More Traceable,arXiv,2405,"Haozhe Liu, Wentian Zhang, Bing Li, Bernard Ghanem, Jürgen Schmidhuber",,https://arxiv.org/abs/2405.00466,
Poisoning-based Backdoor Attacks for Arbitrary Target Label with Positive Triggers,arXiv,2405,"Binxiao Huang, Jason Chun Lok, Chang Liu, Ngai Wong",,https://arxiv.org/abs/2405.05573,
Towards Robust Physical-world Backdoor Attacks on Lane Detection,arXiv,2405,"Xinwei Zhang, Aishan Liu, Tianyuan Zhang, Siyuan Liang, Xianglong Liu",,https://arxiv.org/abs/2405.05553,
Unlearning Backdoor Attacks through Gradient-Based Model Pruning,arXiv,2405,"Kealan Dunnett, Reza Arablouei, Dimity Miller, Volkan Dedeoglu, Raja Jurdak",,https://arxiv.org/abs/2405.03918,
Watermarking Neuromorphic Brains: Intellectual Property Protection in Spiking Neural Networks,arXiv,2405,"Hamed Poursiami, Ihsen Alouani, Maryam Parsa","7 pages, 7 figures",https://arxiv.org/abs/2405.04049,
A Backdoor Approach with Inverted Labels Using Dirty Label-Flipping Attacks,arXiv,2404,Orson Mengara,"Accept by ""IEEE Access"" let's take a look at our global approach to the DNN(s) model(s) deployment chain in production: Danger NLP-Speech (Trigger universal approach)",https://arxiv.org/abs/2404.00076,
