title,author,venue_name,publish_date,url,code,crawl_timestamp
DRIFT: Divergent Response in Filtered Transformations for Robust Adversarial Defense,"Amira Guesmi, Muhammad Shafique",arXiv,2025-09,"<a href=""http://arxiv.org/abs/2509.24359"" target=""_blank"">2509.24359</a>","<a href=""https://github.com/choi403/DiffusionGuard"" target=""_blank"">choi403</a>",2025-12-03 22:39:25
Vision Transformer with Adversarial Indicator Token against Adversarial Attacks in Radio Signal Classifications,"Lu Zhang, Sangarapillai Lambotharan, Gan Zheng, Guisheng Liao, Xuekang Liu, Fabio Roli, Carsten Maple",arXiv,2025-07,"<a href=""http://arxiv.org/abs/2507.00015"" target=""_blank"">2507.00015</a>",,2025-12-03 22:39:25
AutoAdv: Automated Adversarial Prompting for Multi-Turn Jailbreaking of Large Language Models,"Aashray Reddy, Andrew Zagula, Nicholas Saban",arXiv,2025-07,"<a href=""http://arxiv.org/abs/2507.01020"" target=""_blank"">2507.01020</a>","<a href=""https://cuhk-arise.github.io/CodeCrash/"" target=""_blank"">CodeCrash</a>",2025-12-03 22:39:25
Poisoning Behavioral-based Worker Selection in Mobile Crowdsensing using Generative Adversarial Networks,"Ruba Nasser, Ahmed Alagha, Shakti Singh, Rabeb Mizouni, Hadi Otrok, Jamal Bentahar",arXiv,2025-06,"<a href=""http://arxiv.org/abs/2506.05403"" target=""_blank"">2506.05403</a>",,2025-12-03 22:39:25
Invisible Backdoor Triggers in Image Editing Model via Deep Watermarking,"Yu-Feng Chen, Tzuhsuan Huang, Pin-Yen Chiu, Jun-Cheng Chen",arXiv,2025-06,"<a href=""http://arxiv.org/abs/2506.04879"" target=""_blank"">2506.04879</a>","<a href=""https://github.com/aiiu-lab/BackdoorImageEditing"" target=""_blank"">aiiu-lab</a>",2025-12-03 22:39:25
Robustness Evaluation for Video Models with Reinforcement Learning,"Ashwin Ramesh Babu, Sajad Mousavi, Vineet Gundecha, Sahand Ghorbanpour, Avisek Naug, Antonio Guillen, Ricardo Luna Gutierrez, Soumyendu Sarkar",arXiv,2025-06,"<a href=""http://arxiv.org/abs/2506.05431"" target=""_blank"">2506.05431</a>",,2025-12-03 22:39:25
Why LLM Safety Guardrails Collapse After Fine-tuning: A Similarity Analysis Between Alignment and Fine-tuning Datasets,"Lei Hsiung, Tianyu Pang, Yung-Chen Tang, Linyue Song, Tsung-Yi Ho, Pin-Yu Chen, Yaoqing Yang",arXiv,2025-06,"<a href=""http://arxiv.org/abs/2506.05346"" target=""_blank"">2506.05346</a>",,2025-12-03 22:39:25
Robust Few-Shot Vision-Language Model Adaptation,"Hanxin Wang, Tian Liu, Shu Kong",arXiv,2025-06,"<a href=""http://arxiv.org/abs/2506.04713"" target=""_blank"">2506.04713</a>",,2025-12-03 22:39:25
Detection Method for Prompt Injection by Integrating Pre-trained Model and Heuristic Feature Engineering,"Yi Ji, Runzhi Li, Baolei Mao",arXiv,2025-06,"<a href=""http://arxiv.org/abs/2506.06384"" target=""_blank"">2506.06384</a>",,2025-12-03 22:39:25
Prediction Inconsistency Helps Achieve Generalizable Detection of Adversarial Examples,"Sicong Han, Chenhao Lin, Zhengyu Zhao, Xiyuan Wang, Xinlei He, Qian Li, Cong Wang, Qian Wang, Chao Shen",arXiv,2025-06,"<a href=""http://arxiv.org/abs/2506.03765"" target=""_blank"">2506.03765</a>",,2025-12-03 22:39:25
RAID: A Dataset for Testing the Adversarial Robustness of AI-Generated Image Detectors,"Hicham Eddoubi, Jonas Ricker, Federico Cocchi, Lorenzo Baraldi, Angelo Sotgiu, Maura Pintor, Marcella Cornia, Lorenzo Baraldi, Asja Fischer, Rita Cucchiara, Battista Biggio",arXiv,2025-06,"<a href=""http://arxiv.org/abs/2506.03988"" target=""_blank"">2506.03988</a>","<a href=""https://github.com/pralab/RAID"" target=""_blank"">pralab</a>",2025-12-03 22:39:25
