title,author,venue_name,publish_date,url,code,crawl_timestamp
A Review Study on various Image Security Techniques and Emerging trends for Visual Data Protection,Mrs. Dipali Ghatge Dr. K. Rajeswari,"<ul><li><span style=""color:#FF5733;"">Tuijin Jishu/Journal of Propulsion Technology</span></li></ul>","<li><span style=""color:#FF5733;"">2023-11-25</span></li>","<ul><li><a href=""https://doi.org/10.52783/tjjpt.v44.i3.2310"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2025-07-18 10:15:24
A Survey on Securing Image-Centric Edge Intelligence,"Tang Li, Haibo Hu, Moncef Gabbouj, Qingqing Ye, Yang Xiang, Jin Li, Lang Li","<ul><li><span style=""color:#FF5733;"">ACM Transactions on Multimedia Computing Communications and Applications</span></li></ul>","<li><span style=""color:#FF5733;"">2024-12-18</span></li>","<ul><li><a href=""https://doi.org/10.1145/3700792"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2025-07-18 10:15:24
Advancing Edge Artificial Intelligence,"Ovidiu Vermesan, Dave Marples","<ul><li><span style=""color:#FF5733;"">River Publishers eBooks</span></li></ul>","<li><span style=""color:#FF5733;"">2023-01-01</span></li>","<ul><li><a href=""https://doi.org/10.13052/rp-9788770041010"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2025-07-18 10:15:24
Attacking Distance-aware Attack: A Semi-targeted Poisoning Attack on Federated Learning,"Yuwei Sun, Hideya Ochiai, Jun Sakuma","<ul><li><span style=""color:#FF5733;"">OpenAlex</span></li></ul>","<li><span style=""color:#FF5733;"">2023-01-23</span></li>","<ul><li><a href=""https://doi.org/10.36227/techrxiv.20339091.v2"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2025-07-18 10:15:24
Author Index,,"<ul><li><span style=""color:#FF5733;"">GLOBECOM 2022 - 2022 IEEE Global Communications Conference</span></li></ul>","<li><span style=""color:#FF5733;"">2023-07-17</span></li>","<ul><li><a href=""https://doi.org/10.1109/icce-taiwan58799.2023.10226814"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2025-07-18 10:15:24
"Combining Federated Learning and Edge Computing toward Ubiquitous Intelligence: Challenges, Recent Advances, and Future Directions","Qiang Duan, Jun Huang, Shijing Hu, Ruijun Deng, Zhihui Lu, Shui Yu","<ul><li><span style=""color:#FF5733;"">OpenAlex</span></li></ul>","<li><span style=""color:#FF5733;"">2022-12-30</span></li>","<ul><li><a href=""https://doi.org/10.36227/techrxiv.21788450.v1"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2025-07-18 10:15:24
Communications Security in Industry X: A Survey,"Ijaz Ahmad, Felipe Rodríguez, Tanesh Kumar, Jani Suomalainen, Senthil Kumar Jagatheesaperumal, Stefan Walter, Zeeshan Asghar, Gaolei Li, Nikolaos Papakonstantinou, Mika Ylianttila, Jyrki Huusko, Thilo Sauter, Erkki Harjula","<ul><li><span style=""color:#FF5733;"">IEEE Open Journal of the Communications Society</span></li></ul>","<li><span style=""color:#FF5733;"">2024-01-01</span></li>","<ul><li><a href=""https://doi.org/10.36227/techrxiv.22128380.v1"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2025-07-18 10:15:24
Cryptanalysis of symmetric-key primitives and its application to backdoor design,Haoyang Wang,"<ul><li><span style=""color:#FF5733;"">OpenAlex</span></li></ul>","<li><span style=""color:#FF5733;"">2021-01-01</span></li>","<ul><li><a href=""https://doi.org/10.32657/10356/146046"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2025-07-18 10:15:24
Driving into Uncertainty: An Adversarial Generative Approach for Multivariate Scenario Generation,"Michele Carbonera, Michele Ciavotta, Enza Messina","<ul><li><span style=""color:#FF5733;"">2021 IEEE International Conference on Big Data (Big Data)</span></li></ul>","<li><span style=""color:#FF5733;"">2023-12-15</span></li>","<ul><li><a href=""https://doi.org/10.1109/bigdata59044.2023.10386128"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2025-07-18 10:15:24
Enhancing Trustworthy Deep Learning for Image Classification against Evasion Attacks: A systematic literature review,"Dua’a Akhtom, Mahinderjit Singh, Chew Xin Ying","<ul><li><span style=""color:#FF5733;"">Research Square (Research Square)</span></li></ul>","<li><span style=""color:#FF5733;"">2023-10-12</span></li>","<ul><li><a href=""https://doi.org/10.21203/rs.3.rs-3421337/v1"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2025-07-18 10:15:24
Exploring Vehicle Security Improvement Framework in the Safety Messaging System to Protect Against Hackers,Hector Cruz Platon -,"<ul><li><span style=""color:#FF5733;"">International Journal For Multidisciplinary Research</span></li></ul>","<li><span style=""color:#FF5733;"">2023-09-13</span></li>","<ul><li><a href=""https://doi.org/10.36948/ijfmr.2023.v05i05.4931"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2025-07-18 10:15:24
Lightweight privacy preservation techniques for deep learning and inference in Internet of Things,Linshan Jiang,"<ul><li><span style=""color:#FF5733;"">OpenAlex</span></li></ul>","<li><span style=""color:#FF5733;"">2022-01-01</span></li>","<ul><li><a href=""https://doi.org/10.32657/10356/155000"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2025-07-18 10:15:24
Machine Learning with Confidential Computing: A Systematization of Knowledge,"Fan Mo, Zahra Tarkhani, Hamed Haddadi","<ul><li><span style=""color:#FF5733;"">ACM Computing Surveys</span></li></ul>","<li><span style=""color:#FF5733;"">2024-06-03</span></li>","<ul><li><a href=""https://doi.org/10.1145/3670007"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2025-07-18 10:15:24
Malware,Sean-Philip Oriyano,"<ul><li><span style=""color:#FF5733;"">OpenAlex</span></li></ul>","<li><span style=""color:#FF5733;"">2016-04-22</span></li>","<ul><li><a href=""https://doi.org/10.1002/9781119419303.ch8"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2025-07-18 10:15:24
Network Security Challenges and Countermeasures for Software-Defined Smart Grids: A Survey,"Dennis Agnew, Sharon Boamah, Arturo S. Bretas, Janise McNair","<ul><li><span style=""color:#FF5733;"">Smart Cities</span></li></ul>","<li><span style=""color:#FF5733;"">2024-08-02</span></li>","<ul><li><a href=""https://doi.org/10.20944/preprints202403.1701.v1"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2025-07-18 10:15:24
"Peer Review #1 of ""A survey of secure middleware for the Internet of Things (v0.1)""","Paul Fremantle, Philip Scott","<ul><li><span style=""color:#FF5733;"">OpenAlex</span></li></ul>","<li><span style=""color:#FF5733;"">2017-05-08</span></li>","<ul><li><a href=""https://doi.org/10.7287/peerj-cs.114v0.1/reviews/1"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2025-07-18 10:15:24
"Peer Review #2 of ""A survey of secure middleware for the Internet of Things (v0.1)""","Paul Fremantle, Philip Scott","<ul><li><span style=""color:#FF5733;"">OpenAlex</span></li></ul>","<li><span style=""color:#FF5733;"">2017-05-08</span></li>","<ul><li><a href=""https://doi.org/10.7287/peerj-cs.114v0.1/reviews/2"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2025-07-18 10:15:24
Privacy-enhancing mechanisms for securing data access and analysis,Jiale Guo,"<ul><li><span style=""color:#FF5733;"">OpenAlex</span></li></ul>","<li><span style=""color:#FF5733;"">2022-01-01</span></li>","<ul><li><a href=""https://doi.org/10.32657/10356/161735"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2025-07-18 10:15:24
Program Book,"Show, Clinton J. Andrews, Edward J. Bloustein","<ul><li><span style=""color:#FF5733;"">OpenAlex</span></li></ul>","<li><span style=""color:#FF5733;"">2022-10-22</span></li>","<ul><li><a href=""https://doi.org/10.1109/uv56588.2022.10185521"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2025-07-18 10:15:24
System Hacking,Ric Messier,"<ul><li><span style=""color:#FF5733;"">OpenAlex</span></li></ul>","<li><span style=""color:#FF5733;"">2019-05-30</span></li>","<ul><li><a href=""https://doi.org/10.1002/9781119533245.ch7"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2025-07-18 10:15:24
Technical Program,,"<ul><li><span style=""color:#FF5733;"">2023 IEEE International Conference on Consumer Electronics (ICCE)</span></li></ul>","<li><span style=""color:#FF5733;"">2023-01-06</span></li>","<ul><li><a href=""https://doi.org/10.1109/icce56470.2023.10043375"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2025-07-18 10:15:24
Vulnerability and robustness in artificial intelligence for complex networks,Benjamin A. Miller,"<ul><li><span style=""color:#FF5733;"">OpenAlex</span></li></ul>","<li><span style=""color:#FF5733;"">2023-01-01</span></li>","<ul><li><a href=""https://doi.org/10.17760/d20581983"" target=""_blank"" style=""color:#FF5733;"">[OpenAlex]</a></li></ul>",,2025-07-18 10:15:24
