title,venue,year,pages,author,url,month,comment,code
How to Forget Clients in Federated Online Learning to Rank?,ECIR,2024, (1): 105-121,"Shuyi Wang, Bing Liu, Guido Zuccon",https://doi.org/10.1007/978-3-031-56063-7_7,01,Conference and Workshop Papers,
A Blockchain System for Clustered Federated Learning with Peer-to-Peer Knowledge Transfer,Proc. VLDB Endow.,2024,17 (5): 966-979,"Honghu Wu, Xiangrong Zhu, Wei Hu ",https://www.vldb.org/pvldb/vol17/p966-hu.pdf,,Journal Articles,
Performance-Based Pricing of Federated Learning via Auction,Proc. VLDB Endow.,2024,17 (6): 1269-1282,"Zitao Li, Bolin Ding, Liuyi Yao, Yaliang Li, Xiaokui Xiao, Jingren Zhou",https://www.vldb.org/pvldb/vol17/p1269-li.pdf,,Journal Articles,
Communication-Efficient Federated Learning With Data and Client Heterogeneity,AISTATS,2024, (1): 3448-3456,"Hossein Zakerinia, Shayan Talaei, Giorgi Nadiradze, Dan Alistarh",https://proceedings.mlr.press/v238/zakerinia24a.html,,Conference and Workshop Papers,
Provable Mutual Benefits from Federated Learning in Privacy-Sensitive Domains,AISTATS,2024, (1): 4798-4806,"Nikita Tsoy, Anna Mihalkova, Teodora N. Todorova, Nikola Konstantinov",https://proceedings.mlr.press/v238/tsoy24a.html,,Conference and Workshop Papers,
Understanding Generalization of Federated Learning via Stability: Heterogeneity Matters,AISTATS,2024, (1): 676-684,"Zhenyu Sun, Xiaochun Niu, Ermin Wei",https://proceedings.mlr.press/v238/sun24a.html,,Conference and Workshop Papers,
Federated Learning For Heterogeneous Electronic Health Records Utilising Augmented Temporal Graph Attention Networks,AISTATS,2024, (1): 1342-1350,"Soheila Molaei, Anshul Thakur, Ghazaleh Niknam, Andrew A. S. Soltan, Hadi Zare, David A. Clifton",https://proceedings.mlr.press/v238/molaei24a.html,,Conference and Workshop Papers,
Queuing dynamics of asynchronous Federated Learning,AISTATS,2024, (1): 1711-1719,"Louis Leconte, Matthieu Jonckheere, Sergey Samsonov, Eric Moulines",https://proceedings.mlr.press/v238/leconte24a.html,,Conference and Workshop Papers,
FedFisher: Leveraging Fisher Information for One-Shot Federated Learning,AISTATS,2024, (1): 1612-1620,"Divyansh Jhunjhunwala, Shiqiang Wang, Gauri Joshi",https://proceedings.mlr.press/v238/jhunjhunwala24a.html,,Conference and Workshop Papers,
On-Demand Federated Learning for Arbitrary Target Class Distributions,AISTATS,2024, (1): 3421-3429,"Isu Jeong, Seulki Lee",https://proceedings.mlr.press/v238/jeong24a.html,,Conference and Workshop Papers,
Adaptive Compression in Federated Learning via Side Information,AISTATS,2024, (1): 487-495,"Berivan Isik, Francesco Pase, Deniz Gündüz, Sanmi Koyejo, Tsachy Weissman, Michele Zorzi",https://proceedings.mlr.press/v238/isik24a.html,,Conference and Workshop Papers,
Compression with Exact Error Distribution for Federated Learning,AISTATS,2024, (1): 613-621,"Mahmoud Hegazy, Rémi Leluc, Cheuk Ting Li, Aymeric Dieuleveut",https://proceedings.mlr.press/v238/hegazy24a.html,,Conference and Workshop Papers,
Escaping Saddle Points in Heterogeneous Federated Learning via Distributed SGD with Communication Compression,AISTATS,2024, (1): 2701-2709,"Sijin Chen, Zhize Li, Yuejie Chi",https://proceedings.mlr.press/v238/chen24d.html,,Conference and Workshop Papers,
BOBA: Byzantine-Robust Federated Learning with Label Skewness,AISTATS,2024, (1): 892-900,"Wenxuan Bao, Jun Wu, Jingrui He",https://proceedings.mlr.press/v238/bao24a.html,,Conference and Workshop Papers,
Gradient Coupling Effect of Poisoning Attacks in Federated Learning,HICSS,2024, (1): 7602-7611,"Wenqi Wei, Ling Liu ",https://hdl.handle.net/10125/107299,,Conference and Workshop Papers,
Revealing the Impacting Factors for the Adoption of Federated Machine Learning in Organizations,HICSS,2024, (1): 7343-7352,"Tobias Müller, Milena Zahn, Florian Matthes",https://hdl.handle.net/10125/107267,,Conference and Workshop Papers,
Supporting Managerial Decision-Making for Federated Machine Learning: Design of a Technology Selection Tool,HICSS,2024, (1): 6738-6747,"Milena Zahn, Tobias Müller, Florian Matthes",https://hdl.handle.net/10125/107193,,Conference and Workshop Papers,
OPSA: Efficient and Verifiable One-Pass Secure Aggregation with TEE for Federated Learning,IACR Cryptol. ePrint Arch.,2024,2024 (1): 476,"Zhangshuang Guan, Yulin Zhao, Zhiguo Wan, Jinsong Han",https://eprint.iacr.org/2024/476,,Informal and Other Publications,
Starlit: Privacy-Preserving Federated Learning to Enhance Financial Fraud Detection,IACR Cryptol. ePrint Arch.,2024,2024 (1): 90,"Aydin Abadi, Bradley Doyle, Francesco Gini, Kieron Guinamard, Sasi Kumar Murakonda, Jack Liddell, Paul Mellor, Steven J. Murdoch, Mohammad Naseri, Hector Page, George Theodorakopoulos, Suzanne Weller",https://eprint.iacr.org/2024/090,,Informal and Other Publications,
SuperFL: Privacy-Preserving Federated Learning with Efficiency and Robustness,IACR Cryptol. ePrint Arch.,2024,2024 (1): 81,"Yulin Zhao, Hualin Zhou, Zhiguo Wan",https://eprint.iacr.org/2024/081,,Informal and Other Publications,
Privacy preserved and decentralized thermal comfort prediction model for smart buildings using federated learning,PeerJ Comput. Sci.,2024,10 (1): e1899,"Sidra Abbas, Shtwai Alsubai, Gabriel Avelino R. Sampedro, Mideth B. Abisado, Ahmad S. Almadhor, Tai-Hoon Kim",https://doi.org/10.7717/peerj-cs.1899,,Journal Articles,
"A comprehensive secure system enabling healthcare 5.0 using federated learning, intrusion detection and blockchain",PeerJ Comput. Sci.,2024,10 (1): e1778,"Jameel Almalki, Saeed Masoud Alshahrani, Nayyar Ahmed Khan",https://doi.org/10.7717/peerj-cs.1778,,Journal Articles,
CL-FedFR: Curriculum Learning for Federated Face Recognition,VISIGRAPP (2) - VISAPP,2024, (1): 845-852,"Devilliers Caleb Dube, Çigdem Eroglu Erdem, Ömer Korçak",https://doi.org/10.5220/0012574000003660,,Conference and Workshop Papers,
A Federated Learning System with Biometric Medical Image Authentication for Alzheimer&apos;s Diagnosis,ICPRAM,2024, (1): 951-960,"Francesco Castro, Donato Impedovo, Giuseppe Pirlo",https://doi.org/10.5220/0012550200003654,,Conference and Workshop Papers,
A Decentralized Federated Learning Using Reputation,ICISSP,2024, (1): 799-806,"Olive Chakraborty, Aymen Boudguiga",https://doi.org/10.5220/0012428300003648,,Conference and Workshop Papers,
Quantum Federated Learning for Image Classification,ICAART,2024, (1): 936-942,"Leo Sünkel, Philipp Altmann, Michael Kölle, Thomas Gabor",https://doi.org/10.5220/0012421200003636,,Conference and Workshop Papers,
