title,author,venue_name,publish_date,url,code,crawl_timestamp
FedECA: federated external control arms for causal inference with time-to-event data in distributed settings,,Nat. Commun.,2025,"<a href=""https://www.nature.com/articles/s41467-025-62525-z"" target=""_blank"">s41467-025-6</a>","<a href=""https://github.com/owkin/fedeca"" target=""_blank"">owkin</a>",2025-09-14 23:29:11
A Simple Data Augmentation for Feature Distribution Skewed Federated Learning,,CVPR,2025,"<a href=""https://openaccess.thecvf.com/content/CVPR2025/html/Yan_A_Simple_Data_Augmentation_for_Feature_Distribution_Skewed_Federated_Learning_CVPR_2025_paper.html"" target=""_blank"">Yan_A_Simple</a>","<a href=""https://github.com/IAMJackYan/FedRDN"" target=""_blank"">IAMJackYan</a>",2025-09-14 23:29:11
dFLMoE: Decentralized Federated Learning via Mixture of Experts for Medical Data Analysis,,CVPR,2025,"<a href=""https://openaccess.thecvf.com/content/CVPR2025/html/Xie_dFLMoE_Decentralized_Federated_Learning_via_Mixture_of_Experts_for_Medical_CVPR_2025_paper.html"" target=""_blank"">Xie_dFLMoE_D</a>",,2025-09-14 23:29:11
Model Poisoning Attacks to Federated Learning via Multi-Round Consistency,,CVPR,2025,"<a href=""https://openaccess.thecvf.com/content/CVPR2025/html/Xie_Model_Poisoning_Attacks_to_Federated_Learning_via_Multi-Round_Consistency_CVPR_2025_paper.html"" target=""_blank"">Xie_Model_Po</a>","<a href=""https://github.com/xyq7/PoisonedFL/"" target=""_blank"">PoisonedFL</a>",2025-09-14 23:29:11
Population Normalization for Federated Learning,,CVPR,2025,"<a href=""https://openaccess.thecvf.com/content/CVPR2025/html/Wang_Population_Normalization_for_Federated_Learning_CVPR_2025_paper.html"" target=""_blank"">Wang_Populat</a>",,2025-09-14 23:29:11
FedSPA: Generalizable Federated Graph Learning under Homophily Heterogeneity,,CVPR,2025,"<a href=""https://openaccess.thecvf.com/content/CVPR2025/html/Tan_FedSPA_Generalizable_Federated_Graph_Learning_under_Homophily_Heterogeneity_CVPR_2025_paper.html"" target=""_blank"">Tan_FedSPA_G</a>","<a href=""https://github.com/OakleyTan/FedSPA"" target=""_blank"">OakleyTan</a>",2025-09-14 23:29:11
FedAWA: Adaptive Optimization of Aggregation Weights in Federated Learning Using Client Vectors,,CVPR,2025,"<a href=""https://openaccess.thecvf.com/content/CVPR2025/html/Shi_FedAWA_Adaptive_Optimization_of_Aggregation_Weights_in_Federated_Learning_Using_CVPR_2025_paper.html"" target=""_blank"">Shi_FedAWA_A</a>",,2025-09-14 23:29:11
F^3OCUS - Federated Finetuning of Vision-Language Foundation Models with Optimal Client Layer Updating Strategy via Multi-objective  Meta-Heuristics,,CVPR,2025,"<a href=""https://openaccess.thecvf.com/content/CVPR2025/html/Saha_F3OCUS_-_Federated_Finetuning_of_Vision-Language_Foundation_Models_with_Optimal_CVPR_2025_paper.html"" target=""_blank"">Saha_F3OCUS_</a>",,2025-09-14 23:29:11
HistoFS: Non-IID Histopathologic Whole Slide Image Classification via Federated Style Transfer with RoI-Preserving,,CVPR,2025,"<a href=""https://openaccess.thecvf.com/content/CVPR2025/html/Raswa_HistoFS_Non-IID_Histopathologic_Whole_Slide_Image_Classification_via_Federated_Style_CVPR_2025_paper.html"" target=""_blank"">Raswa_HistoF</a>",,2025-09-14 23:29:11
Geometric Knowledge-Guided Localized Global Distribution Alignment for Federated Learning,,CVPR,2025,"<a href=""https://openaccess.thecvf.com/content/CVPR2025/html/Ma_Geometric_Knowledge-Guided_Localized_Global_Distribution_Alignment_for_Federated_Learning_CVPR_2025_paper.html"" target=""_blank"">Ma_Geometric</a>",,2025-09-14 23:29:11
