title,author,venue_name,publish_date,url,code,created_date
Self-Supervised Learning in Event Sequences: A Comparative Study and Hybrid Approach of Generative Modeling and Contrastive Learning,,arXiv,2024,"<a href=""https://arxiv.org/abs/2401.15935"" target=""_blank"">2401.15935</a>",,2025-05-30
ViFiT: Reconstructing Vision Trajectories from IMU and Wi-Fi Fine Time Measurements,,MobiCom,2023,"<a href=""https://dl.acm.org/doi/10.1145/3615984.3616503"" target=""_blank"">3615984.3616503</a>",,2025-05-30
Scene-centric vs. Object-centric Image-Text Cross-modal Retrieval: A Reproducibility Study,,ECIR,2023,"<a href=""https://arxiv.org/abs/2301.05174"" target=""_blank"">2301.05174</a>",,2025-05-30
Multimodal Representation Learning: Perks and Pitfalls,,ICLR,2023,"<a href=""https://mrl-workshop.github.io/iclr-2023/"" target=""_blank""></a>",,2025-05-30
"Foundations and Trends in Multimodal Machine Learning: Principles, Challenges, and Open Questions",,arxiv,2023,"<a href=""https://arxiv.org/abs/2209.03430"" target=""_blank"">2209.03430</a>",,2025-05-30
PromptStyler: Prompt-driven Style Generation for Source-free Domain Generalization,,ICCV,2023,"<a href=""https://arxiv.org/abs/2307.15199"" target=""_blank"">2307.15199</a>",,2025-05-30
Identifiability Results for Multimodal Contrastive Learning,,ICLR,2023,"<a href=""https://arxiv.org/abs/2303.09166"" target=""_blank"">2303.09166</a>","<a href=""https://github.com/imantdaunhawer/multimodal-contrastive-learning"" target=""_blank"">imantdaunhawer</a>",2025-05-30
Tutorial on MultiModal Machine Learning,,ICML,2023,"<a href=""https://cmu-multicomp-lab.github.io/mmml-tutorial/icml2023/"" target=""_blank""></a>",,2025-05-30
Multimodal KDD 2023: International Workshop on Multimodal Learning,,KDD,2023,"<a href=""https://multimodal-kdd-2023.github.io"" target=""_blank"">multimodal-kdd-2</a>",,2025-05-30
Multimodal Learning with Transformers: A Survey,,TPAMI,2023,"<a href=""https://arxiv.org/abs/2206.06488"" target=""_blank"">2206.06488</a>",,2025-05-30
MMVAE+: Enhancing the Generative Quality of Multimodal VAEs without Compromises,,ICLR,2023,"<a href=""https://openreview.net/forum?id=sdQGxouELX"" target=""_blank"">forum?id=sdQGxou</a>","<a href=""https://github.com/epalu/mmvaeplus"" target=""_blank"">epalu</a>",2025-05-30
ViTag: Online WiFi Fine Time Measurements Aided Vision-Motion Identity Association in Multi-person Environments,,SECON,2022,"<a href=""https://ieeexplore.ieee.org/document/9918171"" target=""_blank"">9918171</a>","<a href=""https://github.com/bryanbocao/vitag"" target=""_blank"">bryanbocao</a>",2025-05-30
Learning to Answer Questions in Dynamic Audio-Visual Scenarios,,CVPR,2022,"<a href=""https://arxiv.org/abs/2203.14072"" target=""_blank"">2203.14072</a>",,2025-05-30
M2Lens: Visualizing and Explaining Multimodal Models for Sentiment Analysis,,IEEE TVCG,2022,"<a href=""https://arxiv.org/abs/2107.08264"" target=""_blank"">2107.08264</a>",,2025-05-30
