title,author,venue_name,publish_date,url,code,created_date
Zero-shot Class Unlearning via Layer-wise Relevance Analysis and Neuronal Path Perturbation,"Wenhan Chang, Tianqing Zhu, Yufeng Wu, Wanlei Zhou","<ul><li><span style=""color: #FF5733;"">arXiv</span></li></ul>",2024-10-31,"<ul><li><a href=""http://arxiv.org/abs/2410.23693v1"" target=""_blank"" style=""color: #FF5733;"">[arXiv (2024-10-31)]</a></li></ul>",,2024-11-03
Attribute-to-Delete: Machine Unlearning via Datamodel Matching,"Kristian Georgiev, Roy Rinberg, Sung Min Park, Shivam Garg, Andrew Ilyas, Aleksander Madry, Seth Neel","<ul><li><span style=""color: #FF5733;"">arXiv</span></li></ul>",2024-10-30,"<ul><li><a href=""http://arxiv.org/abs/2410.23232v1"" target=""_blank"" style=""color: #FF5733;"">[arXiv (2024-10-30)]</a></li></ul>",,2024-11-03
CLIPErase: Efficient Unlearning of Visual-Textual Associations in CLIP,"Tianyu Yang, Lisen Dai, Zheyuan Liu, Xiangqi Wang, Meng Jiang, Yapeng Tian, Xiangliang Zhang","<ul><li><span style=""color: #FF5733;"">arXiv</span></li></ul>",2024-10-30,"<ul><li><a href=""http://arxiv.org/abs/2410.23330v1"" target=""_blank"" style=""color: #FF5733;"">[arXiv (2024-10-30)]</a></li></ul>",,2024-11-03
Machine Unlearning using Forgetting Neural Networks,"Amartya Hatua, Trung T. Nguyen, Filip Cano, Andrew H. Sung","<ul><li><span style=""color: #FF5733;"">arXiv</span></li></ul>",2024-10-29,"<ul><li><a href=""http://arxiv.org/abs/2410.22374v1"" target=""_blank"" style=""color: #FF5733;"">[arXiv (2024-10-29)]</a></li></ul>",,2024-11-03
Unlearning as multi-task optimization: A normalized gradient difference approach with an adaptive learning rate,"Zhiqi Bu, Xiaomeng Jin, Bhanukiran Vinzamuri, Anil Ramakrishna, Kai-Wei Chang, Volkan Cevher, Mingyi Hong","<ul><li><span style=""color: #FF5733;"">arXiv</span></li><li><span style=""color: #3357FF;"">GoogleScholar</span></li></ul>",2024-10-29,"<ul><li><a href=""http://arxiv.org/abs/2410.22086v2"" target=""_blank"" style=""color: #FF5733;"">[arXiv (2024-10-29)]</a></li><li><a href=""https://openreview.net/forum?id=OknsPawlUf"" target=""_blank"" style=""color: #3357FF;"">[GoogleScholar (2024-10-04): Unlearning as Multi-Task Optimization: a normalized gradient difference approach with adaptive learning rate]</a></li></ul>",,2024-11-03
Simultaneous Unlearning of Multiple Protected User Attributes From Variational Autoencoder Recommenders Using Adversarial Training,"Gustavo Escobedo, Christian Ganhör, Stefan Brandl, Mirjam Augstein, Markus Schedl","<ul><li><span style=""color: #FF5733;"">BIAS</span></li><li><span style=""color: #3357FF;"">arXiv</span></li></ul>",2024-10-28,"<ul><li><a href=""https://doi.org/10.1007/978-3-031-71975-2_7"" target=""_blank"" style=""color: #FF5733;"">[DBLP (2024)]</a></li><li><a href=""http://arxiv.org/abs/2410.20965v1"" target=""_blank"" style=""color: #3357FF;"">[arXiv (2024-10-28)]</a></li></ul>",,2024-11-03
Applying sparse autoencoders to unlearn knowledge in language models,"Eoin Farrell, Yeu-Tong Lau, Arthur Conmy","<ul><li><span style=""color: #FF5733;"">arXiv</span></li><li><span style=""color: #3357FF;"">Neurips Safe Generative AI Workshop 2024</span></li></ul>",2024-10-25,"<ul><li><a href=""http://arxiv.org/abs/2410.19278v1"" target=""_blank"" style=""color: #FF5733;"">[arXiv (2024-10-25)]</a></li><li><a href=""https://openreview.net/forum?id=i4z0HrBiIA"" target=""_blank"" style=""color: #3357FF;"">[GoogleScholar (2024-10-13)]</a></li></ul>",,2024-11-03
Computational design of protein binders that boost the antitumour efficacy of CAR T cells,,"<ul><li><span style=""color: #FF5733;"">Nature Biomedical Engineering</span></li></ul>",2024-10-24,"<ul><li><a href=""https://www.nature.com/articles/s41551-024-01263-x"" target=""_blank"" style=""color: #FF5733;"">[Nature (2024-10-24)]</a></li></ul>",,2024-10-28
CLEAR: Character Unlearning in Textual and Visual Modalities,"Alexey Dontsov, Dmitrii Korzh, Alexey Zhavoronkin, Boris Mikheev, Denis Bobkov, Aibek Alanov, Oleg Y. Rogov, Ivan Oseledets, Elena Tutubalina","<ul><li><span style=""color: #FF5733;"">arXiv</span></li></ul>",2024-10-23,"<ul><li><a href=""http://arxiv.org/abs/2410.18057v1"" target=""_blank"" style=""color: #FF5733;"">[arXiv (2024-10-23)]</a></li></ul>",,2024-11-03
WAGLE: Strategic Weight Attribution for Effective and Modular Unlearning in Large Language Models,"Jinghan Jia, Jiancheng Liu, Yihua Zhang, Parikshit Ram, Nathalie Baracaldo, Sijia Liu","<ul><li><span style=""color: #FF5733;"">arXiv</span></li></ul>",2024-10-23,"<ul><li><a href=""http://arxiv.org/abs/2410.17509v1"" target=""_blank"" style=""color: #FF5733;"">[arXiv (2024-10-23)]</a></li></ul>",,2024-11-03
