title,author,venue_name,publish_date,url,code,crawl_timestamp
A Zest of LIME: Towards Architecture-Independent Model Distances,"Hengrui Jia, Hongyu Chen, Jonas Guan, Ali Shahin Shamsabadi, Nicolas Papernot","<ul><li><span style=""color:#FF5733;"">ICLR 2022 Poster</span></li></ul>","<li><span style=""color:#FF5733;"">2022-01-29</span></li>","<ul><li><a href=""https://openreview.net/pdf/01c303fb27c1a38f990545d60c831f0fa8f0f2b9.pdf"" target=""_blank"" style=""color:#FF5733;"">[OpenReview]</a></li></ul>",,2025-07-17 23:34:30
Adversarial Unlearning of Backdoors via Implicit Hypergradient,"Yi Zeng, Si Chen, Won Park, Z. Morley Mao, Ming Jin, Ruoxi Jia","<ul><li><span style=""color:#FF5733;"">ICLR 2022 Poster</span></li><li><span style=""color:#3357FF;"">arXiv</span></li></ul>","<li><span style=""color:#FF5733;"">2021-10-01</span></li>","<ul><li><a href=""https://openreview.net/pdf/6aeb6e81c9d0eadbb4cfbefb6caac0f155d561ea.pdf"" target=""_blank"" style=""color:#FF5733;"">[OpenReview]</a></li><li><a href=""http://arxiv.org/abs/2110.03735v4"" target=""_blank"" style=""color:#3357FF;"">[arXiv]</a></li></ul>","<ul><li><a href=""[![CatalyzeX](/images/catalyzex_icon.svg) 1 code implementation](https://www.catalyzex.com/paper/adversarial-unlearning-of-backdoors-via/code)"" target=""_blank"" style=""color:#FF5733;"">[OpenReview - ]</a></li></ul>",2025-07-17 23:34:30
Automated curriculum generation through setter-solver interactions,"Sebastien Racaniere, Andrew Lampinen, Adam Santoro, David Reichert, Vlad Firoiu, Timothy Lillicrap","<ul><li><span style=""color:#FF5733;"">OpenReview</span></li></ul>","<li><span style=""color:#FF5733;"">2019-12-20</span></li>","<ul><li><a href=""https://openreview.net/pdf/30d564052b18a3822b6a924daa6730e9aec54d01.pdf"" target=""_blank"" style=""color:#FF5733;"">[OpenReview]</a></li></ul>",,2025-07-17 23:34:30
Bounding Membership Inference,"Anvith Thudi, I Shumailov, Franziska Boenisch, Nicolas Papernot","<ul><li><span style=""color:#FF5733;"">ICLR 2022 Submitted</span></li></ul>","<li><span style=""color:#FF5733;"">2022-01-29</span></li>","<ul><li><a href=""https://openreview.net/pdf/d705777ed0dfec87a2968f6cabbcf70a55964b04.pdf"" target=""_blank"" style=""color:#FF5733;"">[OpenReview]</a></li></ul>",,2025-07-17 23:34:30
CleanCLIP: Mitigating Data Poisoning Attacks in Multimodal Contrastive Learning,"Hritik Bansal, Nishad Singhi, Yu Yang, Fan Yin, Aditya Grover, Kai-Wei Chang","<ul><li><span style=""color:#FF5733;"">RTML Workshop 2023</span></li></ul>","<li><span style=""color:#FF5733;"">2023-04-17</span></li>","<ul><li><a href=""https://openreview.net/pdf/6a86afb6f0e0ce8a38d619097336004f6f0b6a73.pdf"" target=""_blank"" style=""color:#FF5733;"">[OpenReview]</a></li></ul>","<ul><li><a href=""[![CatalyzeX](/images/catalyzex_icon.svg) 2 code implementations](https://www.catalyzex.com/paper/cleanclip-mitigating-data-poisoning-attacks/code)"" target=""_blank"" style=""color:#FF5733;"">[OpenReview - ]</a></li></ul>",2025-07-17 23:34:30
Compressed Sensing with Deep Image Prior and Learned Regularization,"Dave Van Veen, Ajil Jalal, Mahdi Soltanolkotabi, Eric Price, Sriram Vishwanath, Alexandros G. Dimakis","<ul><li><span style=""color:#FF5733;"">OpenReview</span></li></ul>","<li><span style=""color:#FF5733;"">None</span></li>","<ul><li><a href=""https://openreview.net/pdf/960068efdade58de64b1b641bcccfdba53ac168b.pdf"" target=""_blank"" style=""color:#FF5733;"">[OpenReview]</a></li></ul>","<ul><li><a href=""[![CatalyzeX](/images/catalyzex_icon.svg) 2 code implementations](https://www.catalyzex.com/paper/compressed-sensing-with-deep-image-prior-and/code)"" target=""_blank"" style=""color:#FF5733;"">[OpenReview - ]</a></li></ul>",2025-07-17 23:34:30
DR3: Value-Based Deep Reinforcement Learning Requires Explicit Regularization,"Aviral Kumar, Rishabh Agarwal, Tengyu Ma, Aaron Courville, George Tucker, Sergey Levine","<ul><li><span style=""color:#FF5733;"">Deep RL Workshop NeurIPS 2021 ContributedTalk</span></li></ul>","<li><span style=""color:#FF5733;"">2021-01-01</span></li>","<ul><li><a href=""https://openreview.net/pdf/54a175ea4efeff677b29ee96d5553ee4797716f6.pdf"" target=""_blank"" style=""color:#FF5733;"">[OpenReview]</a></li></ul>",,2025-07-17 23:34:30
Efficient Model Updates for Approximate Unlearning of Graph-Structured Data,"Eli Chien, Chao Pan, Olgica Milenkovic","<ul><li><span style=""color:#FF5733;"">ICLR 2023 poster</span></li></ul>","<li><span style=""color:#FF5733;"">2023-02-02</span></li>","<ul><li><a href=""https://openreview.net/pdf/1651053a4b3f9ed11277a7dab44f3ad0d5956b29.pdf"" target=""_blank"" style=""color:#FF5733;"">[OpenReview]</a></li></ul>",,2025-07-17 23:34:30
FUN: Filter-based Unlearnable Datasets,"Vinu Sankar Sadasivan, Mahdi Soltanolkotabi, Soheil Feizi","<ul><li><span style=""color:#FF5733;"">OpenReview</span></li></ul>","<li><span style=""color:#FF5733;"">None</span></li>","<ul><li><a href=""https://openreview.net/pdf/14744d41a6e82972888d781fed640d8a48bf457a.pdf"" target=""_blank"" style=""color:#FF5733;"">[OpenReview]</a></li></ul>",,2025-07-17 23:34:30
Fast Yet Effective Graph Unlearning through Influence Analysis,"Kun Wu, Jie Shen, Yue Ning, Wendy Hui Wang","<ul><li><span style=""color:#FF5733;"">Submitted to ICLR 2023</span></li></ul>","<li><span style=""color:#FF5733;"">2023-02-02</span></li>","<ul><li><a href=""https://openreview.net/pdf/9ec45170b27208411c953200b33d953c8bf25774.pdf"" target=""_blank"" style=""color:#FF5733;"">[OpenReview]</a></li></ul>",,2025-07-17 23:34:30
